model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
boosting_no_network,pre_shift,996,32,0.0321285140562249,0.7459150124057357,0.9678099066390041,0.417910447761194,0.875,0.06726907630522089,0.4230769230769231,0.6875,0.6428426034298509,0.01564159669168852,11,no_excitation
boosting_no_network,post_shift,4481,71,0.015844677527337647,0.09717327499943516,0.6769585768579731,0.06779661016949153,0.28169014084507044,0.06583351930372684,0.08771929824561403,0.28169014084507044,0.3721439931024739,0.016459774640740474,11,no_excitation
isolation_forest,all_test,5477,103,0.018805915647252144,0.1429567976317934,0.7535635439964445,0.06976744186046512,0.3786407766990291,0.10206317327003835,0.11071428571428571,0.30097087378640774,0.25595828880534693,,11,no_excitation
isolation_forest,pre_shift,996,32,0.0321285140562249,0.583554322374713,0.9313083506224067,0.2558139534883721,0.6875,0.08634538152610442,0.3103448275862069,0.5625,0.29910691567859143,,11,no_excitation
isolation_forest,post_shift,4481,71,0.015844677527337647,0.04346726611865534,0.6703522723643447,0.035940803382663845,0.23943661971830985,0.10555679535817898,0.05855855855855856,0.18309859154929578,0.23752812082263142,,11,no_excitation
behaviour_rule,all_test,5477,103,0.018805915647252144,0.16351301837874874,0.7697200833932527,0.11374407582938388,0.46601941747572817,0.07704947964213986,0.1392857142857143,0.3786407766990291,0.5264984883753399,,11,no_excitation
behaviour_rule,pre_shift,996,32,0.0321285140562249,0.5730032883272852,0.9600946576763486,0.4090909090909091,0.84375,0.06626506024096386,0.39285714285714285,0.6875,0.7960281919495191,,11,no_excitation
behaviour_rule,post_shift,4481,71,0.015844677527337647,0.06725885680181075,0.6792916227523873,0.05898876404494382,0.29577464788732394,0.07944655210890426,0.07589285714285714,0.23943661971830985,0.41137367275151154,,11,no_excitation
logistic,all_test,5591,73,0.013056698265068861,0.061274662543457155,0.7398700144483559,0.05339105339105339,0.5068493150684932,0.12394920407798247,0.06428571428571428,0.2465753424657534,0.29644168534406146,0.03420399572720051,22,no_excitation
logistic,pre_shift,956,8,0.008368200836820083,0.2417331343801932,0.8110495780590717,0.0851063829787234,0.5,0.049163179916317995,0.07142857142857142,0.5,0.6895056041762628,0.012100412772750297,22,no_excitation
logistic,post_shift,4635,65,0.014023732470334413,0.057640334121901365,0.72534253492678,0.05108359133126935,0.5076923076923077,0.13937432578209277,0.0625,0.2153846153846154,0.27291690597073215,0.03876300873787029,22,no_excitation
boosting,all_test,5591,73,0.013056698265068861,0.07426945243649116,0.7269335226680304,0.05952380952380952,0.410958904109589,0.09014487569307816,0.08928571428571429,0.3424657534246575,0.4984198273731852,0.01597937737325047,22,no_excitation
