scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
no_excitation,logistic,post_shift,recall_at_daily_budget,5,0.2482409354737441,0.0234303950765084,0.18318772975072187,0.31329414119676635
no_excitation,logistic,pre_shift,average_precision,5,0.6439399661882146,0.1103490849883906,0.33756178930914216,0.950318143067287
no_excitation,logistic,pre_shift,precision_at_daily_budget,5,0.2872578644276757,0.061514555027607845,0.1164660792228536,0.45804964963249784
no_excitation,logistic,pre_shift,recall_at_daily_budget,5,0.7984210526315789,0.084929496587356,0.5626189675447016,1.034223137718456
no_memory,behaviour_rule,all_test,average_precision,5,0.1493165427193199,0.017051292220272195,0.10197456589704795,0.19665851954159186
no_memory,behaviour_rule,all_test,precision_at_daily_budget,5,0.14642857142857144,0.01396971943971996,0.10764241226917448,0.1852147305879684
no_memory,behaviour_rule,all_test,recall_at_daily_budget,5,0.30539346800216366,0.02415034388660149,0.2383413639293655,0.3724455720749618
no_memory,behaviour_rule,post_shift,average_precision,5,0.08547463365105025,0.0168052810672626,0.038815693290375854,0.13213357401172465
no_memory,behaviour_rule,post_shift,precision_at_daily_budget,5,0.10750508349195395,0.0168893141315507,0.06061282994126209,0.1543973370426458
no_memory,behaviour_rule,post_shift,recall_at_daily_budget,5,0.21436318472155347,0.018876799544238803,0.1619527870251517,0.26677358241795524
no_memory,behaviour_rule,pre_shift,average_precision,5,0.5927086928956766,0.07479823125219526,0.38503550985806645,0.8003818759332868
no_memory,behaviour_rule,pre_shift,precision_at_daily_budget,5,0.31141485143704906,0.0547500060720833,0.1594044650686639,0.4634252378054342
no_memory,behaviour_rule,pre_shift,recall_at_daily_budget,5,0.7289028213166144,0.05544801498288998,0.5749544515244356,0.8828511911087933
no_memory,boosting,all_test,average_precision,5,0.14754298298888285,0.014179682438208963,0.10817387309005846,0.18691209288770724
no_memory,boosting,all_test,precision_at_daily_budget,5,0.1435714285714286,0.01957455658006389,0.08922374676829295,0.19791911037456425
no_memory,boosting,all_test,recall_at_daily_budget,5,0.29543543543543543,0.029595897936864367,0.2132640494746949,0.37760682139617596
no_memory,boosting,post_shift,average_precision,5,0.08624192912414862,0.013215606640460509,0.049549522755022585,0.12293433549327465
no_memory,boosting,post_shift,precision_at_daily_budget,5,0.10727529996272897,0.020210705638831365,0.05116138521920218,0.16338921470625575
no_memory,boosting,post_shift,recall_at_daily_budget,5,0.21044836907541647,0.013263715089162203,0.17362239223937398,0.24727434591145897
no_memory,boosting,pre_shift,average_precision,5,0.5481604286573877,0.10375722721141466,0.26008418303736014,0.8362366742774152
no_memory,boosting,pre_shift,precision_at_daily_budget,5,0.30097923954808736,0.06910615975325345,0.1091097805621501,0.49284869853402463
no_memory,boosting,pre_shift,recall_at_daily_budget,5,0.6581755485893417,0.10315519250253216,0.37177081928995015,0.9445802778887332
